Dominant_Topic,Topic_Perc_Contrib,Keywords
19,0.7597543597221375,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.6231817603111267,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.7664083242416382,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.7352176308631897,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.9109891653060913,"loan,interest,company,asset,financial,loss,security,value,rate,year"
18,0.7843143343925476,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
8,0.8140900135040283,"company,property,interest,year,income,share,financial,lease,include,net"
18,0.9287135004997253,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
8,0.5236217379570007,"company,property,interest,year,income,share,financial,lease,include,net"
1,0.41493263840675354,"insurance,company,loss,financial,year,value,premium,claim,mortgage,net"
13,0.4863578975200653,"loan,financial,interest,income,value,security,asset,loss,rate,net"
13,0.7686588168144226,"loan,financial,interest,income,value,security,asset,loss,rate,net"
3,0.36960461735725403,"company,loan,interest,financial,note,share,statement,agreement,real,director"
8,0.6177588105201721,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6678056716918945,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8089832663536072,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7221920490264893,"loan,interest,company,asset,financial,loss,security,value,rate,year"
16,0.511088490486145,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
19,0.5395854115486145,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.7692622542381287,"company,property,interest,year,income,share,financial,lease,include,net"
12,0.7168846726417542,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.7382276654243469,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7597683072090149,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.3865245282649994,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.5470833778381348,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.7561371326446533,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.4151429533958435,"company,property,interest,year,income,share,financial,lease,include,net"
12,0.7569568753242493,"property,may,interest,share,year,income,investment,value,rate,real"
15,0.9999080896377563,"trust,interest,unit,property,royalty,net,gas,production,price,income"
18,0.7338954210281372,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.7125101685523987,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.5444994568824768,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.8261875510215759,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.47091397643089294,"property,may,interest,share,year,income,investment,value,rate,real"
4,0.9874590635299683,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.5904003381729126,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.4619126617908478,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8664944767951965,"loan,interest,company,asset,financial,loss,security,value,rate,year"
15,0.9999412298202515,"trust,interest,unit,property,royalty,net,gas,production,price,income"
19,0.5749883055686951,"loan,interest,company,asset,financial,loss,security,value,rate,year"
17,0.8504043221473694,"investment,company,value,may,interest,stock,income,portfolio,net,asset"
8,0.9253713488578796,"company,property,interest,year,income,share,financial,lease,include,net"
18,0.9286396503448486,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
8,0.5304580926895142,"company,property,interest,year,income,share,financial,lease,include,net"
8,0.43664073944091797,"company,property,interest,year,income,share,financial,lease,include,net"
2,0.9404187202453613,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
0,0.9934427738189697,"company,financial,bank,may,loan,report,capital,institution,include,risk"
8,0.7452325820922852,"company,property,interest,year,income,share,financial,lease,include,net"
0,0.6434423923492432,"company,financial,bank,may,loan,report,capital,institution,include,risk"
15,0.4196597635746002,"trust,interest,unit,property,royalty,net,gas,production,price,income"
12,0.6346302032470703,"property,may,interest,share,year,income,investment,value,rate,real"
4,0.5334181785583496,"company,financial,year,stock,service,revenue,include,market,may,business"
11,0.6243396997451782,"investment,company,fund,financial,asset,share,income,net,year,management"
17,0.7475519776344299,"investment,company,value,may,interest,stock,income,portfolio,net,asset"
18,0.9167400598526001,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
0,0.9369745254516602,"company,financial,bank,may,loan,report,capital,institution,include,risk"
3,0.5498008728027344,"company,loan,interest,financial,note,share,statement,agreement,real,director"
0,0.9996417760848999,"company,financial,bank,may,loan,report,capital,institution,include,risk"
13,0.580597996711731,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.7902864813804626,"loan,interest,company,asset,financial,loss,security,value,rate,year"
0,0.7923437356948853,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.7490407824516296,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.8227732181549072,"company,property,interest,year,income,share,financial,lease,include,net"
13,0.4387544095516205,"loan,financial,interest,income,value,security,asset,loss,rate,net"
4,0.35308587551116943,"company,financial,year,stock,service,revenue,include,market,may,business"
13,0.8641415238380432,"loan,financial,interest,income,value,security,asset,loss,rate,net"
3,0.5436202883720398,"company,loan,interest,financial,note,share,statement,agreement,real,director"
19,0.7233844995498657,"loan,interest,company,asset,financial,loss,security,value,rate,year"
0,0.2875610888004303,"company,financial,bank,may,loan,report,capital,institution,include,risk"
0,0.7057998180389404,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.6457054615020752,"loan,interest,company,asset,financial,loss,security,value,rate,year"
3,0.4342409670352936,"company,loan,interest,financial,note,share,statement,agreement,real,director"
19,0.8245573043823242,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.6488185524940491,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8005092740058899,"loan,interest,company,asset,financial,loss,security,value,rate,year"
3,0.41646313667297363,"company,loan,interest,financial,note,share,statement,agreement,real,director"
8,0.8053209781646729,"company,property,interest,year,income,share,financial,lease,include,net"
0,0.8853803277015686,"company,financial,bank,may,loan,report,capital,institution,include,risk"
8,0.869459867477417,"company,property,interest,year,income,share,financial,lease,include,net"
8,0.5387266278266907,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.7832483649253845,"loan,interest,company,asset,financial,loss,security,value,rate,year"
