,Topic Number,Word,Probability
0,0.0,company,0.018423814326524734
1,0.0,financial,0.017323225736618042
2,0.0,bank,0.011667764745652676
3,0.0,may,0.011217539198696613
4,0.0,loan,0.010507279075682163
5,0.0,report,0.009601562283933163
6,0.0,capital,0.00882467720657587
7,0.0,institution,0.00792461633682251
8,0.0,include,0.0078008221462368965
9,0.0,risk,0.007545933593064547
10,0.0,stock,0.007217172998934984
11,0.0,market,0.006962791550904512
12,0.0,form,0.006802404765039682
13,0.0,business,0.0067108385264873505
14,0.0,item,0.00652373768389225
15,0.0,require,0.006385575048625469
16,0.0,file,0.0061011603102087975
17,0.0,hold,0.006017896346747875
18,0.0,officer,0.0059758322313427925
19,0.0,statement,0.005866105668246746
20,0.0,incorporate,0.005580215714871883
21,0.0,result,0.005239136517047882
22,0.0,deposit,0.00522661954164505
23,0.0,could,0.005130971781909466
24,0.0,executive,0.005092888604849577
25,0.0,security,0.00507510406896472
26,0.0,service,0.004963891115039587
27,0.0,condition,0.004915026482194662
28,0.0,regulation,0.004852638579905033
29,0.0,information,0.004818382207304239
30,0.0,director,0.004806704819202423
31,0.0,annual,0.004658222664147615
32,0.0,common,0.004541557282209396
33,0.0,year,0.004527480807155371
34,0.0,rate,0.0045186616480350494
35,0.0,operation,0.004315129015594721
36,0.0,certain,0.00426173210144043
37,0.0,affect,0.004172891844063997
38,0.0,change,0.004122256301343441
39,0.0,interest,0.00410868413746357
40,0.0,also,0.004093555733561516
41,0.0,management,0.003981226589530706
42,0.0,credit,0.003967605996876955
43,0.0,asset,0.003955139312893152
44,0.0,banking,0.003933244850486517
45,0.0,control,0.003913294058293104
46,0.0,regulatory,0.003887031925842166
47,0.0,exhibit,0.003740077605471015
48,0.0,plan,0.003682091599330306
49,0.0,share,0.0036750328727066517
50,0.0,subsidiary,0.0035811036359518766
51,0.0,registrant,0.003576745046302676
52,0.0,dividend,0.0035453015007078648
53,0.0,provide,0.0035304345656186342
54,0.0,subject,0.0034980406053364277
55,0.0,reference,0.0034775121603161097
56,0.0,base,0.0033912528306245804
57,0.0,pay,0.003298433730378747
58,0.0,shareholder,0.003292324021458626
59,0.0,federal,0.003256717463955283
60,0.0,end,0.0032065208069980145
61,0.0,law,0.00319416681304574
62,0.0,loss,0.0031910468824207783
63,0.0,date,0.0031736630480736494
64,0.0,activity,0.0031474933493882418
65,0.0,requirement,0.003093468490988016
66,0.0,make,0.003092203987762332
67,0.0,increase,0.003055693581700325
68,0.0,insurance,0.003034732071682811
69,0.0,ability,0.0029230196960270405
70,0.0,transaction,0.002855239436030388
71,0.0,table,0.002855153987184167
72,0.0,compensation,0.002753429813310504
73,0.0,amount,0.0027216512244194746
74,0.0,total,0.00267403363250196
75,0.0,agreement,0.002639217535033822
76,0.0,part,0.002608823822811246
77,0.0,customer,0.0025973969604820013
78,0.0,equity,0.0025730275083333254
79,0.0,account,0.002536594634875655
80,0.0,commercial,0.002531510079279542
81,0.0,policy,0.0025293990038335323
82,0.0,time,0.0025223088450729847
83,0.0,purchase,0.0025065941736102104
84,0.0,chief,0.002505964832380414
85,0.0,assessment,0.0024939202703535557
86,0.0,state,0.002486837562173605
87,0.0,additional,0.002374089090153575
88,0.0,term,0.002343399915844202
89,0.0,future,0.0023288775701075792
90,0.0,program,0.0023186809848994017
91,0.0,real,0.00231378385797143
92,0.0,principal,0.0022940777707844973
93,0.0,economic,0.002252100268378854
94,0.0,content,0.0022120692301541567
95,0.0,current,0.002206275938078761
96,0.0,rule,0.002184865763410926
97,0.0,adversely,0.002184770070016384
98,0.0,estate,0.002148187253624201
99,0.0,fund,0.0021364905405789614
100,0.0,number,0.0021242592483758926
101,0.0,effect,0.002068429021164775
102,0.0,continue,0.002062911866232753
103,0.0,ratio,0.0020570862106978893
104,0.0,maintain,0.0020284971687942743
105,0.0,generally,0.0020237674470990896
106,0.0,office,0.002021311316639185
107,0.0,action,0.002018403960391879
108,0.0,issue,0.0020180342253297567
109,0.0,internal,0.0020120746921747923
110,0.0,payment,0.001995120896026492
111,0.0,would,0.0019816069398075342
112,0.0,addition,0.00197074213065207
113,0.0,relate,0.001955928048118949
114,0.0,limit,0.001953717553988099
115,0.0,factor,0.0019367289496585727
116,0.0,well,0.001890361774712801
117,0.0,pursuant,0.0018615396693348885
118,0.0,investment,0.00185546709690243
119,0.0,disclosure,0.0018474466633051634
120,0.0,level,0.0018366528674960136
121,0.0,new,0.0018226210959255695
122,0.0,consumer,0.00181463488843292
123,0.0,price,0.00180642562918365
124,0.0,system,0.0017932143528014421
125,0.0,value,0.0017838258063420653
126,0.0,follow,0.0017723878845572472
127,0.0,employee,0.001768312999047339
128,0.0,period,0.0017608600901439786
129,0.0,non,0.0017604829045012593
130,0.0,material,0.001728976028971374
131,0.0,agency,0.0016617078799754381
132,0.0,public,0.001657339627854526
133,0.0,procedure,0.0016569270519539714
134,0.0,significant,0.0016497200122103095
135,0.0,income,0.0016312763327732682
136,0.0,amend,0.0016280381241813302
137,0.0,impact,0.0016169073060154915
138,0.0,indicate,0.0015723038231953979
139,0.0,industry,0.0015562365297228098
140,0.0,prefer,0.0015544926282018423
141,0.0,establish,0.0015497442800551653
142,0.0,large,0.001539041055366397
143,0.0,page,0.0015087664360180497
144,0.0,applicable,0.0015018678968772292
145,0.0,liquidity,0.0015000799903646111
146,0.0,area,0.0014992101350799203
147,0.0,depository,0.0014749903930351138
148,0.0,adverse,0.0014684672933071852
149,0.0,engage,0.0014470939058810472
150,0.0,insure,0.0014350361889228225
151,0.0,register,0.001434126403182745
