Topic No,KLdiv_Topic_Book,KLdiv_Book_Topic,Entropy
0,0.7918900621692402,1.2097471628044214,2.0016372249736616
1,0.8857167363315328,1.373775686377846,2.259492422709379
2,0.849416546848029,1.3201100434398394,2.1695265902878687
3,0.9421827369071636,1.4932379417298456,2.4354206786370094
4,0.6693042347402527,1.15906075183773,1.8283649865779827
5,1.0877454644778433,1.472139796819573,2.559885261297416
6,0.7584695770990516,1.2253563902943292,1.983825967393381
7,1.2731144136349788,1.6422777059987455,2.915392119633724
8,0.9108082986697218,1.4519812200030913,2.362789518672813
9,0.8977255946752912,1.4690688822056044,2.3667944768808957
10,0.8624939371730926,1.3282760759315602,2.190770013104653
11,0.7821701494337014,1.2297719350784533,2.011942084512155
12,0.8983788970297361,1.4347810833522934,2.3331599803820295
13,0.8857434796780199,1.3141292105502338,2.1998726902282537
14,0.8600663175635408,1.384186230437647,2.244252548001188
15,0.9622227578769645,1.4462691861141335,2.408491943991098
16,0.9359721490699338,1.4283683754601322,2.364340524530066
17,0.8810029479066005,1.3128416023913658,2.193844550297966
18,0.8554534803741406,1.2973510362243423,2.152804516598483
19,0.9333422031259525,1.367990377194071,2.3013325803200235
